gisco_id,name,registered,turnout,invalid,blank,LEHET MÁS A POLITIKA,MSZP,"FIDESZ,KDNP",Jobbik,MDF,"MDF,SZDSZ",Független jelölt,ÖSSZEFOGÁS PÁRT,Független Kisgazdapárt,TORGYÁN-KISGAZDA-KOALÍCIÓ,MUNKÁSPÁRT,CIVILEK,MIÉP,Ind.,MSZDP,MCF ROMA ÖSSZEFOGÁS PÁRT,ZÖLD BALOLDAL,"FIDESZ,KDNP,Vállalkozók Pártja",SOMOGYÉRT,"ÖSSZEFOGÁS MEGYÉNKÉRT,MDF",MESZ
HU_0956,Budapest_I.,21943,16699,183,0,2630,3309,9272,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0317,Budapest_II.,69072,53799,424,0,7292,12859,27840,3583,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1806,Budapest_III.,100607,72259,629,0,9051,18447,33719,7074,2132,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0546,Budapest_IV.,80450,54316,478,0,6952,15448,23310,6489,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1339,Budapest_V.,21693,15983,165,0,1777,2744,9252,981,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1658,Budapest_VI.,29699,19487,225,0,3224,5017,9367,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2974,Budapest_VII.,45235,28307,327,0,4815,7185,12723,2864,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2540,Budapest_VIII.,55568,32345,552,0,1415,8090,16619,3687,367,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2958,Budapest_IX.,45461,29339,319,0,4019,8181,13879,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1070,Budapest_X.,60060,38985,726,0,0,13193,18643,4837,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1421,Budapest_XI.,107739,80872,725,0,9707,24810,39672,5958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2469,Budapest_XII.,47768,37338,283,0,4668,7862,20789,2274,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2429,Budapest_XIII.,88968,60807,550,0,7304,23871,22662,4988,436,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1633,Budapest_XIV.,93745,67410,727,0,10486,19824,30085,6288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1131,Budapest_XV.,65567,44536,796,0,1795,15142,20608,6195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0820,Budapest_XVI.,57111,42692,356,0,4782,9152,22381,4653,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0211,Budapest_XVII.,68725,48638,336,0,4035,9681,27457,4653,1292,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2928,Budapest_XVIII.,79394,54868,654,0,3835,16677,25658,6742,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0401,Budapest_XIX.,48656,33494,317,0,3731,9665,14872,3879,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0602,Budapest_XX.,52472,34238,526,0,1753,10316,15531,4768,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1318,Budapest_XXI.,62284,40486,777,0,2955,12583,18283,5888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1021,Budapest_XXII.,42132,30743,205,0,3313,6910,15441,3359,0,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3413,Budapest_XXIII.,17186,11605,172,0,0,3101,5874,1749,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1254,Abaliget,527,323,3,0,46,71,155,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0686,Adorjás,144,71,3,0,1,34,27,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_1332,Almamellék,347,259,1,0,0,114,125,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_2037,Almáskeresztúr,73,53,1,0,0,15,29,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HU_1738,Alsómocsolád,303,166,2,0,7,19,116,19,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3327,Alsószentmárton,745,552,6,0,10,100,407,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0
HU_2729,Apátvarasd,106,58,3,0,3,7,36,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0688,Aranyosgadány,277,134,4,0,10,20,84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2581,Ág,139,81,0,0,0,6,65,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2858,Áta,167,87,0,0,5,16,48,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0540,Babarc,639,375,2,0,15,64,245,45,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_0966,Babarcszõlõs,95,58,0,0,6,3,47,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_0829,Bakonya,290,160,0,0,16,46,62,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2227,Bakóca,271,144,0,0,9,13,109,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0397,Baksa,648,294,2,0,23,83,128,45,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_2046,Baranyahídvég,172,105,4,0,1,25,42,20,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0
HU_2474,Baranyajenõ,382,173,2,0,9,29,109,16,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0548,Baranyaszentgyörgy,130,96,0,0,2,16,69,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1549,Basal,155,94,1,0,0,22,64,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_0760,Bánfa,149,82,2,0,0,24,47,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_2437,Bár,485,325,4,0,5,41,246,26,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HU_1900,Belvárdgyula,347,166,6,0,5,41,93,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3192,Beremend,2187,1168,14,0,84,292,585,178,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
HU_1646,Berkesd,709,373,11,0,13,68,225,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3004,Besence,99,51,0,0,8,11,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1411,Bezedek,231,138,2,0,4,17,101,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_1331,Bicsérd,822,463,9,0,0,113,263,61,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
HU_0489,Bikal,679,373,13,0,21,134,140,45,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0513,Birján,429,285,8,0,20,54,165,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2492,Bisse,202,113,1,0,7,19,63,16,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_2089,Boda,371,207,7,0,0,46,117,33,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HU_3300,Bodolyabér,215,117,1,0,5,17,73,12,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3215,Bogád,795,480,7,0,61,61,257,79,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2189,Bogádmindszent,350,198,2,0,10,27,138,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1069,Bogdása,253,128,3,0,0,19,87,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_1311,Boldogasszonyfa,351,236,3,0,0,38,154,35,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
HU_0672,Borjád,351,216,2,0,16,28,114,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1436,Bosta,113,56,0,0,3,19,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1336,Botykapeterd,271,130,2,0,0,26,80,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_3315,Bóly,3002,1987,20,0,143,354,1278,132,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
HU_2316,Bükkösd,953,525,15,0,0,62,270,83,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
HU_0753,Bürüs,74,32,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3061,Csarnóta,119,81,0,0,1,9,50,18,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1990,Csányoszró,595,301,11,0,9,48,194,31,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_2159,Csebény,75,45,0,0,0,20,16,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_2608,Cserdi,284,133,1,0,0,11,101,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
HU_0389,Cserkút,433,271,3,0,32,76,107,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1385,Csertõ,317,174,5,0,0,44,94,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HU_2257,Csonkamindszent,140,87,1,0,0,9,56,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
HU_1108,Cún,185,119,0,0,3,10,82,9,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0
HU_0777,Dencsháza,491,217,7,0,0,36,147,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
HU_1195,Dinnyeberki,67,42,0,0,0,6,31,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HU_3237,Diósviszló,583,351,8,0,18,36,246,36,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2861,Drávacsehi,172,106,1,0,1,31,57,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2812,Drávacsepely,185,116,5,0,6,21,69,7,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
HU_1741,Drávafok,406,228,11,0,0,44,132,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_3239,Drávaiványi,142,76,2,0,5,31,24,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_0915,Drávakeresztúr,102,47,0,0,0,8,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2273,Drávapalkonya,208,99,1,0,6,31,38,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1238,Drávapiski,101,62,3,0,2,5,23,1,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_2860,Drávaszabolcs,549,303,3,0,19,66,165,40,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_3003,Drávaszerdahely,168,113,5,0,1,17,73,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2169,Drávasztára,389,198,8,0,7,32,124,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0918,Dunaszekcsõ,1700,995,8,0,36,158,640,136,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_2891,Egerág,851,484,4,0,62,79,218,115,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
HU_1649,Egyházasharaszti,239,149,2,0,0,21,95,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_2740,Egyházaskozár,689,404,9,0,29,124,153,70,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0609,Ellend,194,133,3,0,4,29,68,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2827,Endrõc,331,189,4,0,0,33,132,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_2582,Erdõsmárok,74,47,0,0,2,10,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1870,Erdõsmecske,335,159,1,0,5,18,98,32,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HU_1349,Erzsébet,261,140,1,0,1,7,90,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1783,Fazekasboda,181,100,0,0,6,3,60,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0454,Feked,169,133,2,0,10,25,84,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1328,Felsõegerszeg,119,61,0,0,2,13,36,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0881,Felsõszentmárton,870,523,16,0,0,187,273,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
HU_0756,Garé,244,149,4,0,10,30,36,40,0,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0
HU_1275,Gerde,431,210,4,0,0,35,140,26,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
HU_0285,Geresdlak,707,414,9,0,4,26,175,29,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1334,Gerényes,182,93,5,0,4,18,58,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1833,Gilvánfa,236,111,7,0,3,5,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3308,Gordisa,204,92,3,0,3,13,67,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_3323,Gödre,768,387,10,0,5,52,258,51,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3043,Görcsöny,1391,700,14,0,58,185,360,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0963,Görcsönydoboka,352,195,2,0,16,38,116,16,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_1831,Gyód,543,334,3,0,30,75,177,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2840,Gyöngyfa,106,54,0,0,0,10,36,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_2266,Gyöngyösmellék,227,133,5,0,0,15,102,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HU_2152,Harkány,3323,2288,27,0,97,365,1340,449,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_2788,Hásságy,256,180,3,0,10,30,127,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3095,Hegyhátmaróc,148,76,0,0,2,27,38,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2102,Hegyszentmárton,359,202,4,0,10,23,140,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1719,Helesfa,298,154,6,0,0,50,73,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
HU_0712,Hetvehely,389,240,6,0,0,49,143,33,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
HU_0679,Hidas,1798,1113,24,0,53,154,697,162,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2793,Himesháza,951,586,2,0,34,96,355,74,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0328,Hirics,160,80,1,0,1,11,53,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_3393,Hobol,787,451,2,0,0,92,269,81,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
HU_2996,Homorúd,538,334,5,0,16,35,227,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2307,Horváthertelend,59,42,1,0,0,22,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3083,Hosszúhetény,2700,1676,24,0,244,279,868,184,31,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3143,Husztót,53,41,2,0,2,11,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3306,Ibafa,179,125,5,0,0,41,62,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_3193,Illocska,201,102,10,0,2,41,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2994,Ipacsfa,183,115,0,0,7,14,73,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0333,Ivánbattyán,124,90,1,0,6,29,40,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_0334,Ivándárda,204,132,1,0,9,43,62,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_0429,Kacsóta,223,113,4,0,0,20,64,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_0696,Katádfa,134,78,1,0,0,2,64,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_0641,Kákics,185,96,1,0,0,8,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0599,Kárász,288,198,1,0,18,34,100,32,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1746,Kásád,285,157,1,0,5,24,101,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1913,Kátoly,290,172,2,0,10,42,89,18,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HU_0678,Kemse,57,44,0,0,3,7,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0383,Keszü,963,692,5,0,90,139,360,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1680,Kékesd,152,99,0,0,5,15,67,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1054,Kémes,419,287,4,0,69,37,144,29,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_0857,Kétújfalu,539,353,4,0,0,78,241,22,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
HU_2055,Királyegyháza,804,379,7,0,0,69,220,67,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
HU_1890,Kisasszonyfa,158,100,0,0,0,15,76,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0572,Kisbeszterce,70,35,0,0,1,3,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2286,Kisbudmér,86,52,0,0,0,6,40,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1118,Kisdér,96,61,0,0,8,10,35,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_3390,Kisdobsza,191,124,0,0,0,16,93,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_0683,Kishajmás,178,84,4,0,9,21,39,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2702,Kisharsány,440,259,5,0,20,40,167,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1697,Kisherend,169,85,4,0,5,20,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1284,Kisjakabfalva,133,80,3,0,3,9,52,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1991,Kiskassa,219,154,2,0,9,35,85,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2161,Kislippó,238,131,6,0,6,41,59,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_3321,Kisnyárád,171,105,3,0,8,43,40,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0865,Kisszentmárton,200,146,2,0,2,45,72,13,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_1235,Kistamási,99,53,0,0,0,4,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0315,Kistapolca,162,114,1,0,10,13,56,32,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1074,Kistótfalu,285,163,3,0,13,49,87,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0954,Kisvaszar,237,135,2,0,1,19,97,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2640,Komló,23129,12772,141,0,738,3593,5659,1745,257,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2422,Kovácshida,219,137,1,0,14,22,69,19,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1451,Kovácsszénája,58,46,1,0,3,7,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0633,Kozármisleny,4518,3005,28,0,408,489,1567,410,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0811,Kórós,173,105,7,0,6,21,67,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2524,Köblény,214,117,1,0,4,36,58,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0354,Kökény,546,334,2,0,46,77,150,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1789,Kölked,866,493,5,0,20,84,340,29,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
HU_1553,Kővágószőlős,1346,755,14,0,60,154,419,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0647,Lapáncsa,169,104,3,0,0,10,83,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_3333,Lánycsók,2142,1350,17,0,83,210,873,142,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
HU_1760,Liget,326,171,2,0,12,28,78,25,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2297,Lippó,448,258,11,0,24,67,128,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1003,Liptód,188,90,3,0,8,10,56,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3138,Lothárd,217,118,1,0,22,22,53,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2462,Lovászhetény,227,128,2,0,10,23,64,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_1886,Lúzsok,174,96,0,0,2,8,79,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2517,Magyarbóly,829,542,4,0,22,127,332,49,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_2975,Magyaregregy,668,446,7,0,19,84,238,71,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0543,Magyarhertelend,569,362,8,0,29,60,196,32,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2354,Magyarlukafa,69,34,0,0,0,9,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_0541,Magyarmecske,238,158,1,0,5,24,104,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2706,Magyarsarlós,270,168,2,0,20,18,91,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2260,Magyarszék,936,571,2,0,29,146,251,76,6,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0438,Magyartelek,178,116,2,0,1,28,52,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2786,Majs,831,446,4,0,23,103,231,69,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HU_2992,Maráza,160,96,2,0,1,17,67,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1644,Markóc,44,26,0,0,0,2,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_1521,Marócsa,86,56,2,0,0,17,35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_0222,Martonfa,175,112,2,0,18,19,52,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1505,Matty,299,192,3,0,4,25,137,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0681,Mágocs,2027,1129,15,0,42,244,655,124,21,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3392,Mánfa,694,422,5,0,47,107,179,53,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0945,Márfa,182,123,0,0,5,13,90,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_1448,Máriakéménd,426,250,4,0,9,49,134,44,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
HU_2065,Márok,392,296,6,0,18,28,214,19,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0
HU_3375,Máza,1048,623,7,0,40,162,345,42,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1344,Mecseknádasd,1392,758,4,0,55,101,468,80,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HU_1140,Mecsekpölöske,369,228,1,0,5,46,101,50,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3049,Mekényes,256,145,2,0,6,34,72,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0773,Merenye,242,124,0,0,0,11,95,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HU_0347,Mezõd,111,62,1,0,2,17,28,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1628,Mindszentgodisa,703,397,7,0,11,86,231,36,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2395,Mohács,15948,9687,79,0,615,1824,5843,1028,213,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
HU_2952,Molvány,169,98,0,0,0,18,66,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_1602,Monyoród,131,72,1,0,5,16,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2954,Mozsgó,694,347,11,0,0,87,188,54,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
HU_0398,Nagybudmér,170,106,1,0,2,10,75,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1811,Nagycsány,139,57,3,0,1,14,31,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_3389,Nagydobsza,517,287,8,0,0,51,186,37,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
HU_1285,Nagyhajmás,284,167,6,0,7,15,105,30,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0265,Nagyharsány,1248,806,3,0,33,111,552,72,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_1094,Nagykozár,1382,887,12,0,95,124,487,140,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1465,Nagynyárád,613,478,0,0,20,28,380,42,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_1987,Nagypall,353,226,3,0,15,21,161,19,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
