gisco_id,name,registered,turnout,invalid,blank,SOC,UMP,PRG,DVG,DVD,FN,COM,VEC,UDF,RPF,PREP,DIV,REG
FR_01001,LAbergement-Clémenciat,568,314,7,0,119,188,0,0,0,0,0,0,0,0,0,0,0
FR_01002,LAbergement-de-Varey,195,133,11,0,48,74,0,0,0,0,0,0,0,0,0,0,0
FR_01004,Ambérieu-en-Bugey,7297,3619,165,0,1582,1872,0,0,0,0,0,0,0,0,0,0,0
FR_01005,Ambérieux-en-Dombes,909,470,20,0,162,288,0,0,0,0,0,0,0,0,0,0,0
FR_01006,Ambléon,93,62,4,0,0,37,21,0,0,0,0,0,0,0,0,0,0
FR_01007,Ambronay,1508,790,46,0,316,428,0,0,0,0,0,0,0,0,0,0,0
FR_01008,Ambutrix,454,258,12,0,124,122,0,0,0,0,0,0,0,0,0,0,0
FR_01009,Andert-et-Condon,250,150,7,0,0,89,54,0,0,0,0,0,0,0,0,0,0
FR_01010,Anglefort,549,302,15,0,0,141,146,0,0,0,0,0,0,0,0,0,0
FR_01011,Apremont,267,156,8,0,39,109,0,0,0,0,0,0,0,0,0,0,0
FR_01012,Aranc,269,166,10,0,0,79,77,0,0,0,0,0,0,0,0,0,0
FR_01013,Arandas,141,99,4,0,0,62,33,0,0,0,0,0,0,0,0,0,0
FR_01014,Arbent,1746,914,52,0,312,550,0,0,0,0,0,0,0,0,0,0,0
FR_01015,Arboys en Bugey,359,245,5,0,0,158,82,0,0,0,0,0,0,0,0,0,0
FR_01016,Arbigny,295,145,3,0,37,105,0,0,0,0,0,0,0,0,0,0,0
FR_01017,Argis,257,156,7,0,0,85,64,0,0,0,0,0,0,0,0,0,0
FR_01019,Armix,34,26,2,0,0,6,18,0,0,0,0,0,0,0,0,0,0
FR_01021,Ars-sur-Formans,786,477,11,0,118,348,0,0,0,0,0,0,0,0,0,0,0
FR_01022,Artemare,734,391,20,0,0,250,121,0,0,0,0,0,0,0,0,0,0
FR_01023,Asnières-sur-Saône,64,40,3,0,8,29,0,0,0,0,0,0,0,0,0,0,0
FR_01024,Attignat,1529,963,20,0,377,566,0,0,0,0,0,0,0,0,0,0,0
FR_01025,Bâgé-Dommartin,1602,869,25,0,350,494,0,0,0,0,0,0,0,0,0,0,0
FR_01026,Bâgé-le-Châtel,534,339,12,0,123,204,0,0,0,0,0,0,0,0,0,0,0
FR_01027,Balan,970,541,29,0,187,325,0,0,0,0,0,0,0,0,0,0,0
FR_01028,Baneins,368,185,4,0,68,113,0,0,0,0,0,0,0,0,0,0,0
FR_01029,Beaupont,357,228,9,0,97,122,0,0,0,0,0,0,0,0,0,0,0
FR_01030,Beauregard,498,245,6,0,106,133,0,0,0,0,0,0,0,0,0,0,0
FR_01031,Bellignat,1880,903,45,0,371,487,0,0,0,0,0,0,0,0,0,0,0
FR_01032,Béligneux,1698,891,31,0,311,549,0,0,0,0,0,0,0,0,0,0,0
FR_01033,Valserhône,5761,3007,181,0,0,1432,1394,0,0,0,0,0,0,0,0,0,0
FR_01034,Belley,4561,2647,123,0,0,1541,983,0,0,0,0,0,0,0,0,0,0
FR_01035,Belleydoux,223,130,16,0,43,71,0,0,0,0,0,0,0,0,0,0,0
FR_01036,Valromey-sur-Séran,366,215,12,0,0,145,58,0,0,0,0,0,0,0,0,0,0
FR_01037,Bénonces,210,131,2,0,0,110,19,0,0,0,0,0,0,0,0,0,0
FR_01038,Bény,498,300,6,0,101,193,0,0,0,0,0,0,0,0,0,0,0
FR_01039,Béon,306,179,10,0,0,78,91,0,0,0,0,0,0,0,0,0,0
FR_01040,Béréziat,247,141,2,0,60,79,0,0,0,0,0,0,0,0,0,0,0
FR_01041,Bettant,530,278,13,0,139,126,0,0,0,0,0,0,0,0,0,0,0
FR_01042,Bey,172,95,0,0,31,64,0,0,0,0,0,0,0,0,0,0,0
FR_01043,Beynost,2608,1510,30,0,574,906,0,0,0,0,0,0,0,0,0,0,0
FR_01044,Billiat,315,167,8,0,0,96,63,0,0,0,0,0,0,0,0,0,0
FR_01045,Birieux,131,78,2,0,12,64,0,0,0,0,0,0,0,0,0,0,0
FR_01046,Biziat,474,281,15,0,86,180,0,0,0,0,0,0,0,0,0,0,0
FR_01047,Blyes,524,294,17,0,100,177,0,0,0,0,0,0,0,0,0,0,0
FR_01049,La Boisse,1805,1076,57,0,447,572,0,0,0,0,0,0,0,0,0,0,0
FR_01050,Boissey,171,102,2,0,33,67,0,0,0,0,0,0,0,0,0,0,0
FR_01051,Bolozon,81,57,6,0,21,30,0,0,0,0,0,0,0,0,0,0,0
FR_01052,Bouligneux,225,152,5,0,42,105,0,0,0,0,0,0,0,0,0,0,0
FR_01053,Bourg-en-Bresse,22438,12977,306,0,5896,6775,0,0,0,0,0,0,0,0,0,0,0
FR_01054,Bourg-Saint-Christophe,657,379,27,0,130,222,0,0,0,0,0,0,0,0,0,0,0
FR_01056,Boyeux-Saint-Jérôme,272,170,7,0,48,115,0,0,0,0,0,0,0,0,0,0,0
FR_01057,Boz,269,138,2,0,55,81,0,0,0,0,0,0,0,0,0,0,0
FR_01058,Brégnier-Cordon,487,301,19,0,0,163,119,0,0,0,0,0,0,0,0,0,0
FR_01059,Brénaz,89,56,1,0,0,31,24,0,0,0,0,0,0,0,0,0,0
FR_01060,Brénod,347,234,9,0,0,162,63,0,0,0,0,0,0,0,0,0,0
FR_01061,Brens,595,342,19,0,0,199,124,0,0,0,0,0,0,0,0,0,0
FR_01062,Bressolles,445,274,19,0,89,166,0,0,0,0,0,0,0,0,0,0,0
FR_01063,Brion,416,224,18,0,79,127,0,0,0,0,0,0,0,0,0,0,0
FR_01064,Briord,479,236,16,0,0,115,105,0,0,0,0,0,0,0,0,0,0
FR_01065,Buellas,996,620,14,0,231,375,0,0,0,0,0,0,0,0,0,0,0
FR_01066,La Burbanche,79,55,4,0,0,33,18,0,0,0,0,0,0,0,0,0,0
FR_01067,Ceignes,177,101,7,0,33,61,0,0,0,0,0,0,0,0,0,0,0
FR_01068,Cerdon,494,246,17,0,81,148,0,0,0,0,0,0,0,0,0,0,0
FR_01069,Certines,981,518,22,0,217,279,0,0,0,0,0,0,0,0,0,0,0
FR_01071,Cessy,1509,698,15,0,0,466,217,0,0,0,0,0,0,0,0,0,0
FR_01072,Ceyzériat,1779,1138,34,0,513,591,0,0,0,0,0,0,0,0,0,0,0
FR_01073,Ceyzérieu,738,390,18,0,0,211,161,0,0,0,0,0,0,0,0,0,0
FR_01074,Chalamont,1178,586,19,0,179,388,0,0,0,0,0,0,0,0,0,0,0
FR_01075,Chaleins,700,318,13,0,97,208,0,0,0,0,0,0,0,0,0,0,0
FR_01076,Chaley,126,78,6,0,0,39,33,0,0,0,0,0,0,0,0,0,0
FR_01077,Challes,147,93,10,0,26,57,0,0,0,0,0,0,0,0,0,0,0
FR_01078,Challex,596,298,8,0,0,167,123,0,0,0,0,0,0,0,0,0,0
FR_01079,Champagne-en-Valromey,508,263,4,0,0,162,97,0,0,0,0,0,0,0,0,0,0
FR_01080,Champdor,298,170,6,0,0,64,100,0,0,0,0,0,0,0,0,0,0
FR_01081,Champfromier,415,260,22,0,0,150,88,0,0,0,0,0,0,0,0,0,0
FR_01082,Chanay,328,173,10,0,0,79,84,0,0,0,0,0,0,0,0,0,0
FR_01083,Chaneins,458,236,6,0,63,167,0,0,0,0,0,0,0,0,0,0,0
FR_01084,Chanoz-Châtenay,417,213,3,0,62,148,0,0,0,0,0,0,0,0,0,0,0
FR_01085,La Chapelle-du-Châtelard,205,139,6,0,14,119,0,0,0,0,0,0,0,0,0,0,0
FR_01087,Charix,224,118,9,0,33,76,0,0,0,0,0,0,0,0,0,0,0
FR_01088,Charnoz-sur-Ain,523,259,16,0,81,162,0,0,0,0,0,0,0,0,0,0,0
FR_01089,Château-Gaillard,1003,530,24,0,176,330,0,0,0,0,0,0,0,0,0,0,0
FR_01090,Châtenay,262,152,4,0,66,82,0,0,0,0,0,0,0,0,0,0,0
FR_01091,Châtillon-en-Michaille,1670,1050,69,0,0,558,423,0,0,0,0,0,0,0,0,0,0
FR_01092,Châtillon-la-Palud,855,462,21,0,188,253,0,0,0,0,0,0,0,0,0,0,0
FR_01093,Châtillon-sur-Chalaronne,2776,1583,50,0,525,1008,0,0,0,0,0,0,0,0,0,0,0
FR_01094,Chavannes-sur-Reyssouze,471,255,6,0,85,164,0,0,0,0,0,0,0,0,0,0,0
FR_01095,Nivigne et Suran,349,227,5,0,105,117,0,0,0,0,0,0,0,0,0,0,0
FR_01096,Chaveyriat,634,351,8,0,122,221,0,0,0,0,0,0,0,0,0,0,0
FR_01097,Chavornay,161,92,2,0,0,55,35,0,0,0,0,0,0,0,0,0,0
FR_01098,Chazey-Bons,498,292,7,0,0,167,118,0,0,0,0,0,0,0,0,0,0
FR_01099,Chazey-sur-Ain,853,480,20,0,150,310,0,0,0,0,0,0,0,0,0,0,0
FR_01100,Cheignieu-la-Balme,114,85,1,0,0,30,54,0,0,0,0,0,0,0,0,0,0
FR_01101,Chevillard,134,79,6,0,0,48,25,0,0,0,0,0,0,0,0,0,0
FR_01102,Chevroux,522,232,14,0,73,145,0,0,0,0,0,0,0,0,0,0,0
FR_01103,Chevry,544,291,10,0,0,198,83,0,0,0,0,0,0,0,0,0,0
FR_01104,Chézery-Forens,313,166,6,0,0,90,70,0,0,0,0,0,0,0,0,0,0
FR_01105,Civrieux,815,502,17,0,190,295,0,0,0,0,0,0,0,0,0,0,0
FR_01106,Cize,122,93,3,0,47,43,0,0,0,0,0,0,0,0,0,0,0
FR_01107,Cleyzieu,106,72,3,0,0,43,26,0,0,0,0,0,0,0,0,0,0
FR_01108,Coligny,859,541,24,0,214,303,0,0,0,0,0,0,0,0,0,0,0
FR_01109,Collonges,688,314,7,0,0,190,117,0,0,0,0,0,0,0,0,0,0
FR_01110,Colomieu,101,53,7,0,0,19,27,0,0,0,0,0,0,0,0,0,0
FR_01111,Conand,86,62,5,0,0,27,30,0,0,0,0,0,0,0,0,0,0
FR_01112,Condamine,206,122,5,0,0,70,47,0,0,0,0,0,0,0,0,0,0
FR_01113,Condeissiat,499,284,7,0,83,194,0,0,0,0,0,0,0,0,0,0,0
FR_01114,Confort,321,186,7,0,0,95,84,0,0,0,0,0,0,0,0,0,0
FR_01115,Confrançon,652,317,11,0,133,173,0,0,0,0,0,0,0,0,0,0,0
FR_01116,Contrevoz,380,232,12,0,0,106,114,0,0,0,0,0,0,0,0,0,0
FR_01117,Conzieu,94,63,6,0,0,47,10,0,0,0,0,0,0,0,0,0,0
FR_01118,Corbonod,587,340,17,0,0,191,132,0,0,0,0,0,0,0,0,0,0
FR_01119,Corcelles,144,81,3,0,0,45,33,0,0,0,0,0,0,0,0,0,0
FR_01121,Corlier,65,32,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0
FR_01122,Cormaranche-en-Bugey,592,364,26,0,0,202,136,0,0,0,0,0,0,0,0,0,0
FR_01123,Cormoranche-sur-Saône,629,379,17,0,135,227,0,0,0,0,0,0,0,0,0,0,0
FR_01124,Cormoz,408,272,14,0,143,115,0,0,0,0,0,0,0,0,0,0,0
FR_01125,Corveissiat,426,260,6,0,145,109,0,0,0,0,0,0,0,0,0,0,0
FR_01127,Courmangoux,338,202,7,0,79,116,0,0,0,0,0,0,0,0,0,0,0
FR_01128,Courtes,180,103,4,0,35,64,0,0,0,0,0,0,0,0,0,0,0
FR_01129,Crans,187,122,3,0,35,84,0,0,0,0,0,0,0,0,0,0,0
FR_01130,Bresse Vallons,745,418,14,0,183,221,0,0,0,0,0,0,0,0,0,0,0
FR_01133,Cressin-Rochefort,249,165,8,0,0,81,76,0,0,0,0,0,0,0,0,0,0
FR_01134,Crottet,970,528,14,0,212,302,0,0,0,0,0,0,0,0,0,0,0
FR_01135,Crozet,853,410,20,0,0,245,145,0,0,0,0,0,0,0,0,0,0
FR_01136,Cruzilles-lès-Mépillat,487,270,4,0,98,168,0,0,0,0,0,0,0,0,0,0,0
FR_01138,Culoz,1686,851,33,0,0,430,388,0,0,0,0,0,0,0,0,0,0
FR_01139,Curciat-Dongalon,352,201,1,0,81,119,0,0,0,0,0,0,0,0,0,0,0
FR_01140,Curtafond,445,269,7,0,82,180,0,0,0,0,0,0,0,0,0,0,0
FR_01141,Cuzieu,268,156,2,0,0,94,60,0,0,0,0,0,0,0,0,0,0
FR_01142,Dagneux,2408,1247,46,0,455,746,0,0,0,0,0,0,0,0,0,0,0
FR_01143,Divonne-les-Bains,4240,2109,58,0,0,1514,537,0,0,0,0,0,0,0,0,0,0
FR_01144,Dommartin,496,274,8,0,95,171,0,0,0,0,0,0,0,0,0,0,0
FR_01145,Dompierre-sur-Veyle,688,377,8,0,155,214,0,0,0,0,0,0,0,0,0,0,0
FR_01146,Dompierre-sur-Chalaronne,196,110,2,0,32,76,0,0,0,0,0,0,0,0,0,0,0
FR_01147,Domsure,326,204,5,0,87,112,0,0,0,0,0,0,0,0,0,0,0
FR_01148,Dortan,1349,616,32,0,217,367,0,0,0,0,0,0,0,0,0,0,0
FR_01149,Douvres,581,350,24,0,132,194,0,0,0,0,0,0,0,0,0,0,0
FR_01150,Drom,123,94,3,0,44,47,0,0,0,0,0,0,0,0,0,0,0
FR_01151,Druillat,704,400,10,0,171,219,0,0,0,0,0,0,0,0,0,0,0
FR_01152,Échallon,526,320,24,0,122,174,0,0,0,0,0,0,0,0,0,0,0
FR_01153,Échenevex,704,362,13,0,0,236,113,0,0,0,0,0,0,0,0,0,0
FR_01154,Étrez,467,262,7,0,110,145,0,0,0,0,0,0,0,0,0,0,0
FR_01155,Évosges,106,79,7,0,0,52,20,0,0,0,0,0,0,0,0,0,0
FR_01156,Faramans,456,250,8,0,68,174,0,0,0,0,0,0,0,0,0,0,0
FR_01157,Fareins,1281,739,26,0,275,438,0,0,0,0,0,0,0,0,0,0,0
FR_01158,Farges,429,208,16,0,0,118,74,0,0,0,0,0,0,0,0,0,0
FR_01159,Feillens,2058,1142,30,0,255,857,0,0,0,0,0,0,0,0,0,0,0
FR_01160,Ferney-Voltaire,3254,1647,41,0,0,974,632,0,0,0,0,0,0,0,0,0,0
FR_01162,Flaxieu,69,47,6,0,0,32,9,0,0,0,0,0,0,0,0,0,0
FR_01163,Foissiat,1234,695,20,0,217,458,0,0,0,0,0,0,0,0,0,0,0
FR_01165,Francheleins,661,381,12,0,103,266,0,0,0,0,0,0,0,0,0,0,0
FR_01166,Frans,1222,709,25,0,243,441,0,0,0,0,0,0,0,0,0,0,0
FR_01167,Garnerans,478,230,8,0,79,143,0,0,0,0,0,0,0,0,0,0,0
FR_01169,Genouilleux,266,137,4,0,46,87,0,0,0,0,0,0,0,0,0,0,0
FR_01170,Béard-Géovreissiat,444,246,28,0,56,162,0,0,0,0,0,0,0,0,0,0,0
FR_01171,Géovreisset,506,262,13,0,59,190,0,0,0,0,0,0,0,0,0,0,0
FR_01172,Germagnat,116,64,3,0,12,49,0,0,0,0,0,0,0,0,0,0,0
FR_01173,Gex,3739,1855,71,0,0,1123,661,0,0,0,0,0,0,0,0,0,0
FR_01174,Giron,101,65,2,0,0,46,17,0,0,0,0,0,0,0,0,0,0
FR_01175,Gorrevod,448,263,13,0,73,177,0,0,0,0,0,0,0,0,0,0,0
FR_01176,Le Grand-Abergement,96,69,9,0,0,36,24,0,0,0,0,0,0,0,0,0,0
FR_01177,Grand-Corent,104,80,1,0,28,51,0,0,0,0,0,0,0,0,0,0,0
FR_01179,Grièges,1164,669,21,0,229,419,0,0,0,0,0,0,0,0,0,0,0
FR_01180,Grilly,400,194,9,0,0,142,43,0,0,0,0,0,0,0,0,0,0
FR_01181,Groissiat,585,343,12,0,83,248,0,0,0,0,0,0,0,0,0,0,0
FR_01182,Groslée,296,165,15,0,0,119,31,0,0,0,0,0,0,0,0,0,0
FR_01183,Guéreins,729,383,26,0,102,255,0,0,0,0,0,0,0,0,0,0,0
FR_01184,Hautecourt-Romanèche,549,336,12,0,153,171,0,0,0,0,0,0,0,0,0,0,0
FR_01185,Plateau d'Hauteville,2177,1240,60,0,0,688,492,0,0,0,0,0,0,0,0,0,0
FR_01186,Hostiaz,75,48,1,0,0,27,20,0,0,0,0,0,0,0,0,0,0
FR_01187,Haut Valromey,256,165,4,0,0,103,58,0,0,0,0,0,0,0,0,0,0
FR_01188,Illiat,346,197,6,0,39,152,0,0,0,0,0,0,0,0,0,0,0
FR_01189,Injoux-Génissiat,654,368,12,0,0,135,221,0,0,0,0,0,0,0,0,0,0
FR_01190,Innimond,126,85,1,0,0,57,27,0,0,0,0,0,0,0,0,0,0
FR_01191,Izenave,118,73,2,0,0,53,18,0,0,0,0,0,0,0,0,0,0
FR_01192,Izernore,1097,539,44,0,143,352,0,0,0,0,0,0,0,0,0,0,0
FR_01193,Izieu,163,108,4,0,0,49,55,0,0,0,0,0,0,0,0,0,0
FR_01194,Jassans-Riottier,3254,1747,58,0,689,1000,0,0,0,0,0,0,0,0,0,0,0
FR_01195,Jasseron,966,616,15,0,232,369,0,0,0,0,0,0,0,0,0,0,0
FR_01196,Jayat,637,322,9,0,114,199,0,0,0,0,0,0,0,0,0,0,0
FR_01197,Journans,247,172,4,0,91,77,0,0,0,0,0,0,0,0,0,0,0
FR_01198,Joyeux,193,132,8,0,37,87,0,0,0,0,0,0,0,0,0,0,0
FR_01199,Jujurieux,1219,679,15,0,264,400,0,0,0,0,0,0,0,0,0,0,0
FR_01200,Labalme,94,52,0,0,30,22,0,0,0,0,0,0,0,0,0,0,0
FR_01202,Lagnieu,4110,2235,95,0,816,1324,0,0,0,0,0,0,0,0,0,0,0
FR_01203,Laiz,732,356,15,0,144,197,0,0,0,0,0,0,0,0,0,0,0
FR_01204,Poizat-Lalleyriat,151,83,5,0,34,44,0,0,0,0,0,0,0,0,0,0,0
FR_01205,Lancrans,640,314,11,0,0,185,118,0,0,0,0,0,0,0,0,0,0
FR_01206,Lantenay,210,130,3,0,0,71,56,0,0,0,0,0,0,0,0,0,0
FR_01207,Lapeyrouse,171,116,8,0,24,84,0,0,0,0,0,0,0,0,0,0,0
FR_01208,Lavours,127,98,5,0,0,47,46,0,0,0,0,0,0,0,0,0,0
FR_01209,Léaz,376,199,13,0,0,117,69,0,0,0,0,0,0,0,0,0,0
FR_01210,Lélex,198,124,2,0,0,104,18,0,0,0,0,0,0,0,0,0,0
FR_01211,Lent,822,500,17,0,189,294,0,0,0,0,0,0,0,0,0,0,0
FR_01212,Lescheroux,474,273,6,0,117,150,0,0,0,0,0,0,0,0,0,0,0
FR_01213,Leyment,635,355,20,0,161,174,0,0,0,0,0,0,0,0,0,0,0
FR_01214,Leyssard,116,66,6,0,34,26,0,0,0,0,0,0,0,0,0,0,0
FR_01215,Surjoux-Lhopital,42,34,8,0,0,13,13,0,0,0,0,0,0,0,0,0,0
FR_01216,Lhuis,579,315,16,0,0,193,106,0,0,0,0,0,0,0,0,0,0
FR_01218,Lochieu,64,49,8,0,0,28,13,0,0,0,0,0,0,0,0,0,0
FR_01219,Lompnas,133,82,4,0,0,58,20,0,0,0,0,0,0,0,0,0,0
FR_01221,Lompnieu,129,75,3,0,0,41,31,0,0,0,0,0,0,0,0,0,0
FR_01224,Loyettes,1409,659,25,0,254,380,0,0,0,0,0,0,0,0,0,0,0
FR_01225,Lurcy,222,137,5,0,39,93,0,0,0,0,0,0,0,0,0,0,0
FR_01227,Magnieu,244,160,2,0,0,98,60,0,0,0,0,0,0,0,0,0,0
FR_01228,Maillat,417,220,19,0,52,149,0,0,0,0,0,0,0,0,0,0,0
FR_01229,Malafretaz,525,338,13,0,125,200,0,0,0,0,0,0,0,0,0,0,0
FR_01230,Mantenay-Montlin,213,125,4,0,62,59,0,0,0,0,0,0,0,0,0,0,0
FR_01231,Manziat,1250,717,21,0,215,481,0,0,0,0,0,0,0,0,0,0,0
FR_01232,Marboz,1556,902,21,0,340,541,0,0,0,0,0,0,0,0,0,0,0
FR_01233,Marchamp,126,76,5,0,0,30,41,0,0,0,0,0,0,0,0,0,0
FR_01234,Marignieu,121,89,3,0,0,45,41,0,0,0,0,0,0,0,0,0,0
FR_01235,Marlieux,538,302,9,0,80,213,0,0,0,0,0,0,0,0,0,0,0
FR_01236,Marsonnas,586,335,10,0,137,188,0,0,0,0,0,0,0,0,0,0,0
FR_01237,Martignat,861,463,30,0,148,285,0,0,0,0,0,0,0,0,0,0,0
FR_01238,Massieux,1439,814,30,0,299,485,0,0,0,0,0,0,0,0,0,0,0
FR_01239,Massignieu-de-Rives,414,240,4,0,0,140,96,0,0,0,0,0,0,0,0,0,0
FR_01240,Matafelon-Granges,389,194,13,0,62,119,0,0,0,0,0,0,0,0,0,0,0
FR_01241,Meillonnas,987,630,25,0,302,303,0,0,0,0,0,0,0,0,0,0,0
FR_01242,Mérignat,86,66,2,0,28,36,0,0,0,0,0,0,0,0,0,0,0
FR_01243,Messimy-sur-Saône,744,389,21,0,123,245,0,0,0,0,0,0,0,0,0,0,0
FR_01244,Meximieux,4054,2109,80,0,837,1192,0,0,0,0,0,0,0,0,0,0,0
FR_01245,Bohas-Meyriat-Rignat,598,353,15,0,153,185,0,0,0,0,0,0,0,0,0,0,0
FR_01246,Mézériat,1154,589,17,0,212,360,0,0,0,0,0,0,0,0,0,0,0
FR_01247,Mijoux,217,132,6,0,0,90,36,0,0,0,0,0,0,0,0,0,0
FR_01248,Mionnay,1217,718,26,0,250,442,0,0,0,0,0,0,0,0,0,0,0
FR_01249,Miribel,5639,3080,83,0,1461,1536,0,0,0,0,0,0,0,0,0,0,0
FR_01250,Misérieux,974,595,34,0,231,330,0,0,0,0,0,0,0,0,0,0,0
FR_01252,Mogneneins,442,245,6,0,85,154,0,0,0,0,0,0,0,0,0,0,0
FR_01254,Montagnat,1098,671,15,0,256,400,0,0,0,0,0,0,0,0,0,0,0
FR_01255,Montagnieu,338,207,4,0,0,102,101,0,0,0,0,0,0,0,0,0,0
FR_01257,Montanges,257,146,9,0,0,93,44,0,0,0,0,0,0,0,0,0,0
FR_01258,Montceaux,579,325,16,0,94,215,0,0,0,0,0,0,0,0,0,0,0
FR_01259,Montcet,324,191,5,0,80,106,0,0,0,0,0,0,0,0,0,0,0
FR_01260,Le Montellier,177,124,3,0,30,91,0,0,0,0,0,0,0,0,0,0,0
FR_01261,Monthieux,376,220,11,0,61,148,0,0,0,0,0,0,0,0,0,0,0
FR_01262,Montluel,3487,1901,86,0,721,1094,0,0,0,0,0,0,0,0,0,0,0
FR_01263,Montmerle-sur-Saône,2227,1072,29,0,340,703,0,0,0,0,0,0,0,0,0,0,0
FR_01264,Montracol,494,295,7,0,108,180,0,0,0,0,0,0,0,0,0,0,0
FR_01265,Montréal-la-Cluse,1883,909,45,0,330,534,0,0,0,0,0,0,0,0,0,0,0
FR_01266,Montrevel-en-Bresse,1644,965,35,0,439,491,0,0,0,0,0,0,0,0,0,0,0
FR_01267,Nurieux-Volognat,608,328,34,0,97,197,0,0,0,0,0,0,0,0,0,0,0
FR_01268,Murs-et-Gélignieux,189,111,13,0,0,63,35,0,0,0,0,0,0,0,0,0,0
FR_01269,Nantua,1599,795,59,0,273,463,0,0,0,0,0,0,0,0,0,0,0
FR_01271,Nattages,358,210,16,0,0,110,84,0,0,0,0,0,0,0,0,0,0
FR_01272,Neuville-les-Dames,918,528,13,0,176,339,0,0,0,0,0,0,0,0,0,0,0
FR_01273,Neuville-sur-Ain,927,511,14,0,219,278,0,0,0,0,0,0,0,0,0,0,0
FR_01274,Les Neyrolles,380,185,11,0,70,104,0,0,0,0,0,0,0,0,0,0,0
FR_01275,Neyron,1386,783,18,0,270,495,0,0,0,0,0,0,0,0,0,0,0
FR_01276,Niévroz,808,401,19,0,160,222,0,0,0,0,0,0,0,0,0,0,0
FR_01277,Nivollet-Montgriffon,97,59,4,0,0,32,23,0,0,0,0,0,0,0,0,0,0
FR_01279,Oncieu,74,53,4,0,0,26,23,0,0,0,0,0,0,0,0,0,0
FR_01280,Ordonnaz,135,93,4,0,0,68,21,0,0,0,0,0,0,0,0,0,0
FR_01281,Ornex,1442,747,15,0,0,468,264,0,0,0,0,0,0,0,0,0,0
FR_01282,Outriaz,166,104,8,0,0,48,48,0,0,0,0,0,0,0,0,0,0
FR_01283,Oyonnax,11268,5561,245,0,1913,3403,0,0,0,0,0,0,0,0,0,0,0
FR_01284,Ozan,320,195,4,0,70,121,0,0,0,0,0,0,0,0,0,0,0
FR_01285,Parcieux,644,387,19,0,121,247,0,0,0,0,0,0,0,0,0,0,0
FR_01286,Parves et Nattages,270,154,11,0,0,43,100,0,0,0,0,0,0,0,0,0,0
FR_01288,Péron,965,432,12,0,0,246,174,0,0,0,0,0,0,0,0,0,0
FR_01289,Péronnas,3977,2412,65,0,1045,1302,0,0,0,0,0,0,0,0,0,0,0
FR_01290,Pérouges,861,489,29,0,138,322,0,0,0,0,0,0,0,0,0,0,0
FR_01291,Perrex,565,313,9,0,106,198,0,0,0,0,0,0,0,0,0,0,0
FR_01292,Le Petit-Abergement,136,88,4,0,0,48,36,0,0,0,0,0,0,0,0,0,0
FR_01293,Peyriat,143,74,12,0,26,36,0,0,0,0,0,0,0,0,0,0,0
FR_01294,Peyrieu,531,293,15,0,0,175,103,0,0,0,0,0,0,0,0,0,0
FR_01295,Peyzieux-sur-Saône,221,125,9,0,39,77,0,0,0,0,0,0,0,0,0,0,0
FR_01296,Pirajoux,262,166,12,0,52,102,0,0,0,0,0,0,0,0,0,0,0
FR_01297,Pizay,445,261,11,0,76,174,0,0,0,0,0,0,0,0,0,0,0
FR_01298,Plagne,79,53,5,0,0,10,38,0,0,0,0,0,0,0,0,0,0
FR_01299,Le Plantay,287,195,6,0,50,139,0,0,0,0,0,0,0,0,0,0,0
FR_01300,Le Poizat,277,144,8,0,34,102,0,0,0,0,0,0,0,0,0,0,0
FR_01301,Polliat,1528,934,27,0,311,596,0,0,0,0,0,0,0,0,0,0,0
FR_01302,Pollieu,93,65,2,0,0,29,34,0,0,0,0,0,0,0,0,0,0
FR_01303,Poncin,1038,532,17,0,156,359,0,0,0,0,0,0,0,0,0,0,0
FR_01304,Pont-dAin,1456,793,30,0,272,491,0,0,0,0,0,0,0,0,0,0,0
FR_01305,Pont-de-Vaux,1441,749,16,0,246,487,0,0,0,0,0,0,0,0,0,0,0
FR_01306,Pont-de-Veyle,851,458,17,0,174,267,0,0,0,0,0,0,0,0,0,0,0
FR_01307,Port,521,280,26,0,80,174,0,0,0,0,0,0,0,0,0,0,0
FR_01308,Pougny,412,180,7,0,0,78,95,0,0,0,0,0,0,0,0,0,0
FR_01309,Pouillat,51,36,4,0,16,16,0,0,0,0,0,0,0,0,0,0,0
FR_01310,Prémeyzel,107,60,6,0,0,41,13,0,0,0,0,0,0,0,0,0,0
FR_01311,Prémillieu,67,48,2,0,0,27,19,0,0,0,0,0,0,0,0,0,0
FR_01312,Pressiat,148,104,8,0,41,55,0,0,0,0,0,0,0,0,0,0,0
FR_01313,Prévessin-Moëns,2287,1224,29,0,0,748,447,0,0,0,0,0,0,0,0,0,0
FR_01314,Priay,807,482,13,0,181,288,0,0,0,0,0,0,0,0,0,0,0
FR_01316,Pugieu,118,81,1,0,0,42,38,0,0,0,0,0,0,0,0,0,0
FR_01317,Ramasse,184,116,3,0,49,64,0,0,0,0,0,0,0,0,0,0,0
FR_01318,Rancé,409,246,8,0,71,167,0,0,0,0,0,0,0,0,0,0,0
FR_01319,Relevant,291,176,5,0,38,133,0,0,0,0,0,0,0,0,0,0,0
FR_01320,Replonges,2305,1438,59,0,395,984,0,0,0,0,0,0,0,0,0,0,0
FR_01321,Revonnas,413,284,3,0,128,153,0,0,0,0,0,0,0,0,0,0,0
FR_01322,Reyrieux,2546,1561,59,0,511,991,0,0,0,0,0,0,0,0,0,0,0
