gisco_id,name,registered,turnout,invalid,blank,Slovenská ľudová strana Andreja Hlinku,DOBRÁ VOĽBA,Sloboda a Solidarita,SME RODINA,Slovenské Hnutie Obrody,ZA ĽUDÍ,MÁME TOHO DOSŤ !,Slovenská národná strana,Demokratická strana,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",Koalícia Progresívne Slovensko a SPOLU - občianska demokracia,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,99 % - občiansky hlas,Kresťanskodemokratické hnutie,Slovenská liga,VLASŤ,MOST - HÍD,SMER - sociálna demokracia,SOLIDARITA - Hnutie pracujúcej chudoby,HLAS ĽUDU,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,Práca slovenského národa,Kotlebovci - Ľudová strana Naše Slovensko,Socialisti.sk
SK_528595,Bratislava - mestská časť Staré Mesto,39166,30602,232,0,18,638,4566,1042,9,3849,20,479,38,5750,7172,16,12,1870,3,654,241,2748,14,22,162,10,899,138
SK_529311,Bratislava - mestská časť Podunajské Biskupice,19420,13566,135,0,11,429,1348,978,6,1050,28,248,27,3911,1484,32,7,407,6,325,484,1697,10,12,270,3,605,53
SK_529320,Bratislava - mestská časť Ružinov,67562,51115,544,0,27,1512,7623,2465,15,5393,48,885,68,11786,8768,27,16,2420,11,1174,475,5540,34,38,225,15,1741,265
SK_529338,Bratislava - mestská časť Vrakuňa,17083,11631,99,0,8,416,1410,868,4,852,17,253,17,3343,1358,14,11,356,2,305,153,1406,6,8,87,4,577,57
SK_529346,Bratislava - mestská časť Nové Mesto,35591,27272,219,0,4,1120,4031,1163,6,3027,29,472,43,5837,5175,9,6,1231,3,605,220,2827,8,11,115,4,970,137
SK_529354,Bratislava - mestská časť Rača,20520,14994,140,0,8,495,1844,824,6,1349,14,337,22,3810,2144,7,4,656,7,426,103,1984,10,10,31,4,668,91
SK_529362,Bratislava - mestská časť Vajnory,4692,3542,24,0,3,128,445,199,3,319,4,85,4,1001,440,3,4,174,0,102,12,362,4,4,6,3,187,26
SK_529401,Bratislava - mestská časť Devín,1400,1130,6,0,3,23,151,60,0,147,0,24,4,247,209,0,1,54,2,25,6,108,1,0,0,0,50,9
SK_529371,Bratislava - mestská časť Devínska Nová Ves,14081,10372,71,0,5,325,1265,807,5,922,24,242,16,2780,1443,4,1,393,2,273,61,1075,7,18,13,7,541,72
SK_529389,Bratislava - mestská časť Dúbravka,30215,22062,148,0,10,742,2725,1375,8,2069,27,438,25,5320,3182,6,5,977,9,554,153,3049,11,19,79,10,993,128
SK_529397,Bratislava - mestská časť Karlova Ves,29569,22818,222,0,14,676,3248,1070,6,2498,27,394,27,5159,4023,7,9,1179,12,523,167,2427,8,9,84,8,888,133
SK_529419,Bratislava - mestská časť Lamač,6228,4871,20,0,4,207,569,196,6,498,8,118,2,1117,679,5,2,326,5,136,30,658,3,3,17,1,237,24
SK_529427,Bratislava - mestská časť Záhorská Bystrica,4580,3740,28,0,0,117,604,153,2,466,6,82,5,898,585,2,1,171,1,81,10,350,1,1,2,1,150,23
SK_529435,Bratislava - mestská časť Čunovo,1230,1096,6,0,1,24,153,50,0,145,0,19,1,365,119,0,0,66,2,26,8,73,0,0,2,0,33,3
SK_529443,Bratislava - mestská časť Jarovce,2090,1735,17,0,1,58,247,122,3,188,4,19,0,506,212,2,0,57,1,38,20,163,0,4,11,1,55,6
SK_529460,Bratislava - mestská časť Petržalka,106476,69145,573,0,47,1911,8505,4755,35,6045,113,1398,101,17741,9595,30,37,2738,18,1962,608,8751,50,45,311,28,3328,420
SK_529494,Bratislava - mestská časť Rusovce,3434,2750,17,0,4,60,392,165,4,306,10,39,4,760,441,7,1,76,1,62,53,241,0,1,16,2,75,13
SK_507831,Borinka,639,530,4,0,2,16,50,34,0,73,1,7,1,129,73,0,0,30,0,21,4,50,0,0,0,0,34,1
SK_507890,Gajary,2465,1472,14,0,3,45,76,167,0,53,4,39,0,490,69,0,0,16,0,25,3,297,1,0,0,0,165,5
SK_507954,Jablonové (okres Malacky),1115,842,14,0,3,19,47,73,0,60,5,21,2,276,66,0,0,41,0,26,2,136,1,0,0,0,49,1
SK_507962,Jakubov,1364,926,12,0,4,35,68,100,0,29,1,26,0,269,88,0,0,16,0,24,2,172,1,1,1,0,73,4
SK_508012,Kostoliste,1281,962,7,0,0,25,83,104,1,59,3,16,0,337,57,1,0,42,1,17,1,134,1,2,0,0,64,7
SK_508021,Kuchyna,1467,1012,20,0,1,27,64,114,1,47,3,30,2,312,56,1,0,36,1,41,1,164,0,0,0,0,88,3
SK_508039,Lab,1550,1158,11,0,2,34,87,147,0,93,2,35,0,330,103,0,0,23,1,36,2,149,0,2,1,0,96,4
SK_508055,Lozorno,2559,1739,19,0,5,49,143,177,0,175,1,28,0,589,149,0,0,82,0,34,2,173,0,3,2,0,103,5
SK_508063,Malacky,15082,10213,118,0,15,295,843,954,3,576,34,176,12,3325,769,2,3,270,2,252,42,1681,9,6,8,4,732,82
SK_504556,Male Levare,1180,760,17,0,1,19,32,105,0,30,0,11,3,275,36,0,1,21,0,7,0,125,0,0,0,0,73,4
SK_508080,Marianka,1720,1363,12,0,1,35,192,71,0,161,0,17,2,364,213,0,0,89,0,31,5,121,3,1,0,0,43,2
SK_508161,Pernek,735,505,10,0,3,16,18,47,1,22,1,16,2,138,41,0,0,7,0,13,1,100,0,0,0,0,67,2
SK_504629,Plavecke Podhradie,587,434,5,0,3,30,31,38,1,31,0,9,1,139,20,0,0,35,0,2,0,66,1,0,0,0,21,1
SK_504637,Plavecky Mikulas,636,476,3,0,0,19,35,49,0,18,1,21,0,105,24,1,0,15,0,12,1,97,1,0,1,1,68,4
SK_508195,Plavecky Stvrtok,2016,1234,20,0,4,34,88,101,1,69,4,30,2,418,107,0,1,19,1,29,4,212,0,1,1,2,83,3
SK_504769,Rohožník (okres Malacky),2921,1875,21,0,6,47,97,205,1,72,8,53,2,700,85,3,1,32,0,46,5,271,3,2,0,1,198,16
SK_504858,Solosnica,1363,944,11,0,0,30,48,100,0,50,2,21,1,310,77,1,0,29,1,18,3,181,0,0,0,1,57,3
SK_504874,Studienka,1387,938,21,0,5,21,55,73,3,54,8,19,1,297,47,1,1,18,0,31,5,195,1,3,1,0,77,1
SK_508233,Stupava,9263,7120,61,0,9,207,867,500,4,646,7,107,24,2048,994,3,1,283,2,173,31,729,1,2,5,1,376,39
SK_508241,Suchohrad,589,379,6,0,2,18,16,39,0,16,1,8,1,122,22,0,0,5,0,10,0,82,0,2,0,0,27,2
SK_504947,Velke Levare,3044,1911,30,0,7,43,109,222,2,103,4,38,4,612,104,0,2,51,0,42,5,372,3,0,3,1,143,11
SK_508349,Vysoka pri Morave,1860,1168,16,0,3,41,73,120,1,58,1,26,2,399,83,2,0,23,0,16,3,210,2,0,1,1,83,4
SK_500267,Záhorie (vojenský obvod),143,94,1,0,0,0,4,11,0,5,0,3,0,29,7,0,0,0,0,2,0,16,0,0,0,0,15,1
SK_508365,Zahorska Ves,1495,806,11,0,2,20,35,93,0,41,2,10,0,279,38,1,0,18,0,19,4,157,0,1,0,0,75,0
SK_504980,Zavod,2342,1504,24,0,4,50,74,184,1,52,4,37,3,409,70,2,0,53,0,33,5,321,2,0,0,0,166,10
SK_508381,Zohor,2774,1970,18,0,6,54,138,182,3,143,6,53,1,709,151,1,0,75,0,49,9,240,2,0,0,0,125,5
SK_507806,Bahon,1528,1077,10,0,5,31,70,79,0,59,2,18,5,344,65,2,0,79,0,25,2,180,1,1,0,0,93,6
SK_507849,Budmerice,1995,1480,12,0,4,48,96,109,0,74,3,41,0,498,101,10,0,39,0,57,4,236,1,0,0,0,126,21
SK_507857,Casta,1930,1429,11,0,2,41,88,144,2,68,3,35,2,505,133,2,1,44,1,40,6,207,0,2,0,1,78,13
SK_507873,Doľany (okres Pezinok),889,727,6,0,2,23,31,47,1,18,1,15,1,305,44,1,0,31,0,18,0,105,0,0,0,0,76,2
SK_507881,Dubová (okres Pezinok),957,750,8,0,1,23,46,66,0,53,7,30,0,209,71,0,0,37,0,19,0,123,0,3,0,0,52,2
SK_507946,Jablonec,807,581,3,0,1,12,35,52,2,16,0,17,0,219,35,0,1,16,0,14,0,83,1,1,0,0,67,6
SK_508047,Limbach,1736,1382,15,0,2,63,196,82,0,117,1,32,2,387,167,2,0,58,0,26,5,161,0,4,2,0,50,10
SK_508101,Modra,7741,5645,62,0,10,167,554,362,1,500,10,120,10,1665,689,3,1,147,3,169,12,811,5,1,4,1,291,47
SK_508179,Pezinok,19853,14852,130,0,13,469,1413,1067,3,1197,25,330,23,4342,1909,6,7,577,0,404,50,2013,10,11,8,3,706,136
SK_508187,Píla (okres Pezinok),297,236,1,0,0,9,13,23,0,14,0,5,0,79,19,0,0,14,0,4,0,40,0,0,0,0,13,2
SK_508225,Slovensky Grob,3526,2841,14,0,3,130,328,241,0,172,3,64,0,838,300,2,1,69,0,43,8,435,5,1,1,0,166,17
SK_507989,Svätý Jur,4635,3570,36,0,3,112,346,270,1,297,6,101,1,924,456,1,1,187,0,116,17,475,3,2,5,0,190,20
SK_508250,Senkvice,4095,3173,34,0,6,90,243,267,6,193,5,121,3,830,277,1,6,94,0,164,5,600,4,1,0,1,207,15
SK_508268,Stefanova,317,231,3,0,0,7,14,10,0,8,1,5,0,79,21,0,0,8,0,7,0,41,0,0,0,0,24,3
SK_508306,Vinicne,2037,1632,30,0,1,42,174,125,0,144,5,61,2,495,175,1,0,49,0,34,2,210,0,1,0,0,71,10
SK_508314,Vinosady,1118,896,9,0,0,17,85,75,1,71,1,13,0,276,93,1,0,15,0,24,7,158,0,0,0,0,50,0
SK_508322,Vistuk,1161,827,9,0,1,14,44,74,0,41,1,27,2,231,75,1,2,39,2,29,0,161,2,2,1,0,64,5
SK_507814,Bernolakovo,6366,4991,44,0,8,121,609,331,4,394,8,120,7,1578,583,2,2,167,0,112,19,595,5,3,7,2,243,27
SK_507822,Blatne,1405,1023,17,0,0,25,72,78,2,55,5,26,4,278,78,2,0,80,0,31,3,191,0,2,2,1,62,9
SK_503681,Boldog,400,307,5,0,1,2,15,12,0,11,1,1,1,61,35,0,0,5,0,6,23,18,0,0,90,0,20,0
SK_507865,Cataj,951,748,6,0,0,20,68,65,0,39,1,14,7,199,51,6,0,12,0,28,5,166,0,0,1,0,58,2
SK_545333,Dunajska Luzna,5402,4250,31,0,3,84,577,289,2,359,2,51,9,1245,455,3,1,234,1,125,85,434,8,3,16,1,214,18
SK_507903,Hamuliakovo,1903,1537,11,0,0,32,166,133,0,121,4,17,1,474,132,0,1,26,0,42,92,105,3,0,108,0,67,2
SK_503797,Hruba Borsa,915,739,4,0,0,15,78,50,0,55,1,15,0,309,68,5,0,10,0,11,12,52,0,0,24,0,28,2
SK_503801,Hruby Sur,781,618,15,0,1,6,28,38,0,44,1,5,0,173,45,2,0,8,0,7,68,28,0,0,131,0,15,3
SK_503819,Hurbanova Ves,367,288,8,0,0,5,30,25,0,18,0,6,0,70,24,0,0,4,0,9,4,69,0,0,6,0,8,2
SK_507911,Chorvatsky Grob,4677,3892,11,0,4,145,645,264,3,398,4,61,3,1045,515,0,1,154,0,67,13,377,1,3,4,1,164,9
SK_555487,Igram,479,355,4,0,2,12,24,28,0,12,1,9,0,128,20,9,0,46,0,7,0,38,0,1,0,0,14,0
SK_507938,Ivanka pri Dunaji,5356,4143,33,0,3,126,499,271,0,346,5,87,4,1102,505,0,0,250,1,95,21,562,3,2,2,2,205,19
SK_507997,Kalinkovo,1163,917,14,0,1,19,87,78,0,65,1,20,2,294,78,1,0,15,1,20,50,89,1,0,32,1,45,3
SK_555495,Kaplna,722,547,2,0,0,24,30,52,0,32,0,8,0,150,39,8,0,39,0,17,3,89,1,2,0,0,47,4
SK_503851,Kostolna pri Dunaji,568,454,5,0,1,8,32,31,2,38,0,7,0,103,36,5,0,20,0,4,28,36,1,0,87,0,9,1
SK_503894,Kralova pri Senci,1624,1198,10,0,2,47,103,93,0,85,0,28,0,384,95,1,1,34,1,30,11,183,0,0,8,0,68,14
SK_508071,Malinovo,2798,2232,0,0,2,64,304,135,0,222,3,25,2,652,237,3,0,52,0,52,90,142,1,0,169,0,71,6
SK_508098,Miloslavov,2615,2176,16,0,2,71,286,158,0,208,4,53,2,654,274,2,2,73,0,59,31,203,1,2,3,2,61,9
SK_508110,Most pri Bratislave,2839,2228,15,0,1,76,240,206,4,170,6,59,6,687,231,1,1,64,3,71,13,242,1,0,4,2,105,20
SK_508136,Nova Dedinka,2310,1791,39,0,3,36,209,173,0,130,1,19,0,580,183,2,0,33,3,23,55,125,0,2,113,1,52,9
SK_582549,Nový Svet,82,65,0,0,0,4,1,1,0,1,0,1,0,22,4,1,0,0,0,1,0,16,0,0,0,0,13,0
SK_503983,Reca,1291,932,8,0,1,11,56,72,0,38,1,10,1,275,63,6,0,15,0,11,69,88,0,1,161,0,40,5
SK_508209,Rovinka,3612,2825,25,0,1,86,440,261,0,233,0,52,2,769,311,3,1,104,3,68,41,271,2,4,16,2,117,13
SK_508217,Senec,15359,10982,104,0,12,292,981,851,4,816,11,204,15,3579,1015,12,2,433,5,328,282,964,10,2,553,3,424,80
SK_508276,Tomasov,2185,1656,32,0,2,24,119,88,0,103,2,15,8,483,133,3,0,31,1,37,127,119,2,0,274,0,51,2
SK_508284,Turen,934,724,6,0,1,10,45,42,0,45,0,4,1,208,52,1,0,7,1,7,66,21,0,1,190,0,13,3
SK_508292,Velky Biel,2283,1661,13,0,3,26,149,145,0,126,5,19,1,529,180,1,0,50,1,34,74,132,2,1,101,3,62,4
SK_508331,Vlky,379,289,4,0,0,1,20,11,0,15,3,2,0,54,9,0,1,0,1,4,40,3,0,0,114,0,7,0
SK_555509,Zálesie (okres Senec),1619,1328,8,0,1,27,176,86,1,137,1,31,2,371,171,1,0,86,0,33,6,121,0,0,3,0,56,10
SK_501441,Bac,454,357,1,0,0,3,6,6,1,20,1,0,0,53,9,0,0,21,0,8,77,9,0,0,131,1,10,0
SK_501450,Baka,960,655,4,0,0,4,6,12,0,25,0,4,1,58,15,0,0,2,0,1,128,9,0,0,383,0,3,0
SK_501468,Balon,624,385,0,0,0,1,2,5,0,6,7,0,0,27,3,0,0,2,0,0,56,9,0,0,266,0,0,1
SK_555517,Bellova Ves,266,192,2,0,0,6,10,16,0,6,0,4,0,86,14,0,0,2,0,7,3,26,0,0,7,0,3,0
SK_501484,Blahova,317,232,4,0,2,7,10,24,0,13,1,6,0,58,14,0,1,7,0,4,28,30,1,0,11,0,10,1
SK_501492,Blatna na Ostrove,793,551,4,0,1,0,10,25,1,12,1,3,0,87,25,0,0,2,0,8,74,16,0,0,275,0,6,1
SK_503461,Bodiky,317,251,1,0,0,2,12,19,0,18,1,0,0,42,15,0,0,2,0,2,34,8,0,0,85,0,9,1
SK_501506,Bohelov,290,182,4,0,1,0,1,2,0,3,1,0,0,25,1,0,0,0,0,1,37,2,0,0,101,0,3,0
SK_501514,Cakany,504,394,4,0,0,6,27,21,0,21,0,2,0,102,22,0,0,4,0,0,62,7,1,3,107,0,5,0
SK_580554,Cenkovce,902,652,6,0,0,5,12,20,0,21,0,0,0,82,21,1,0,5,0,3,143,19,0,0,300,0,14,0
SK_501531,Cilizska Radvan,980,494,8,0,2,3,7,5,0,16,1,1,1,54,14,0,0,0,0,0,71,8,2,0,293,0,6,2
SK_501549,Dobrohost,450,317,2,0,0,3,30,33,0,22,0,1,1,82,23,0,0,3,0,0,44,12,0,0,51,0,9,1
SK_501557,Dolny Bar,655,435,7,0,1,2,7,12,0,20,1,2,0,103,12,2,0,1,1,2,71,19,0,0,164,0,8,0
SK_501611,Dolny Stal,1617,884,9,0,1,1,5,19,0,18,4,1,0,100,15,0,0,0,1,2,140,22,3,0,535,0,8,0
SK_501433,Dunajska Streda,19275,11107,101,0,6,65,284,252,0,509,12,45,1,1968,576,14,0,59,1,77,1661,412,5,0,4940,1,104,14
SK_555541,Dunajsky Klatov,575,344,4,0,0,0,4,11,0,9,0,2,0,45,11,0,0,0,0,2,60,8,0,1,184,0,3,0
SK_501573,Gabcikovo,4334,2682,36,0,4,13,36,107,1,79,3,8,3,293,65,1,0,1,0,13,400,84,0,2,1504,0,25,4
SK_501581,Holice,1761,1176,6,0,0,8,11,25,0,19,3,4,1,106,29,0,0,3,0,3,206,21,0,0,711,0,20,0
SK_501590,Horna Poton,1753,1103,13,0,0,6,43,54,0,40,0,5,3,173,47,0,1,6,0,6,154,65,0,0,458,0,29,0
SK_555568,Horne Myto,772,468,1,0,0,1,3,8,0,17,2,0,0,27,12,0,0,1,0,1,67,6,0,0,313,0,8,1
SK_501603,Horny Bar,1056,777,6,0,0,2,24,16,0,21,0,6,0,113,21,1,0,1,1,2,124,32,0,0,394,0,13,0
SK_501620,Hubice,520,395,5,0,1,2,20,43,0,24,1,3,0,93,20,1,6,4,0,7,71,14,1,0,75,0,3,1
SK_501638,Hviezdoslavov,1729,1373,4,0,1,50,159,148,0,83,3,30,2,429,175,3,0,28,1,37,30,95,1,2,19,0,65,8
SK_501654,Jahodna,1381,794,19,0,3,8,33,11,0,17,0,1,0,118,23,0,0,1,1,0,121,16,0,0,406,0,15,1
SK_501662,Janiky,758,610,5,0,0,1,21,25,0,21,3,1,1,81,24,0,0,2,0,5,191,25,0,1,185,0,17,1
SK_501671,Jurova,404,269,0,0,0,0,1,11,0,6,1,2,0,33,2,0,0,0,0,0,56,1,0,0,151,0,5,0
SK_501689,Klucovec,308,198,3,0,0,0,0,2,0,2,0,0,0,15,3,0,0,2,0,0,38,2,0,0,120,0,4,7
SK_501697,Kostolne Kracany,1189,774,13,0,1,4,7,12,0,34,0,2,0,74,15,0,0,1,0,4,188,36,0,0,379,0,4,0
SK_501701,Kralovicove Kracany,940,546,8,0,1,2,7,11,0,21,0,0,1,72,14,0,0,0,0,2,146,23,0,0,232,0,6,0
SK_501719,Kutniky,1180,769,6,0,0,6,19,21,0,31,3,3,1,138,30,0,0,4,0,9,92,34,0,0,363,0,9,0
SK_501727,Kvetoslavov,1310,1054,12,0,1,29,139,64,0,91,2,22,1,293,133,2,0,29,0,29,41,84,0,0,44,0,33,5
SK_580597,Kyselica,161,120,0,0,0,0,11,7,0,4,0,1,0,16,5,0,0,1,0,4,16,3,0,0,48,1,3,0
SK_501735,Lehnice,2426,1492,20,0,5,32,38,119,0,99,5,12,0,303,69,3,1,16,1,36,207,133,1,0,346,1,44,1
SK_501743,Luc na Ostrove,612,432,5,0,1,0,2,8,1,10,4,0,0,29,9,0,0,0,0,2,130,11,0,0,218,0,2,0
SK_555606,Macov,367,273,2,0,0,5,16,22,1,25,0,3,0,75,23,0,0,12,0,7,11,21,0,0,31,0,13,6
SK_555649,Mad,475,289,1,0,1,0,2,4,0,7,0,0,0,24,3,0,0,0,0,0,78,3,0,0,165,1,0,0
SK_555665,Male Dvorniky,965,681,3,0,1,3,7,6,0,15,2,1,0,87,32,0,0,0,0,5,202,18,0,0,292,0,3,4
SK_501760,Medvedov,491,267,1,0,4,4,1,4,0,2,1,2,0,33,7,0,0,0,0,1,29,38,0,0,137,0,3,0
SK_501778,Mierovo,354,259,1,0,0,3,13,18,1,14,0,1,0,35,6,0,0,0,0,0,62,7,0,1,97,0,0,0
SK_501786,Michal na Ostrove,826,459,7,0,0,4,15,21,0,11,0,1,0,89,22,0,0,2,0,8,80,28,0,0,154,0,15,2
SK_501930,Narad,548,386,3,0,0,1,9,2,0,16,2,1,0,30,6,1,0,0,0,3,69,4,0,0,237,0,1,1
SK_501808,Novy Zivot,1827,1217,18,0,1,18,33,70,1,34,1,4,0,234,46,2,0,2,0,6,282,27,0,0,413,0,20,5
SK_501816,Ohrady,1098,709,9,0,0,0,9,18,0,13,1,2,0,42,9,3,0,2,0,3,102,13,0,0,479,0,3,1
SK_501824,Okoc,3150,1711,11,0,0,4,6,34,0,22,1,1,0,97,22,0,0,1,0,2,167,25,0,0,1308,0,9,1
SK_501832,Oldza,421,332,2,0,1,5,23,34,0,17,2,3,0,79,21,3,0,7,0,6,33,24,0,0,58,0,13,1
SK_501859,Orechova Poton,1417,880,6,0,0,5,8,25,0,29,0,0,0,131,25,0,0,6,0,7,140,17,0,0,466,0,13,2
SK_501867,Padan,751,426,0,0,2,4,2,14,0,10,0,1,0,21,14,0,0,0,1,2,110,7,0,1,234,0,3,0
SK_501883,Patas,645,332,2,0,1,0,1,7,0,10,0,2,0,28,7,1,0,1,0,0,61,5,0,0,204,0,1,1
SK_582522,Potônske Lúky,242,141,0,0,1,2,2,3,0,7,0,3,0,19,1,0,0,0,0,0,23,3,0,0,75,0,2,0
SK_555720,Povoda,795,477,2,0,0,0,7,9,0,16,0,0,1,93,18,2,0,0,0,3,72,23,0,0,224,0,3,4
SK_501891,Rohovce,905,629,7,0,1,3,17,25,0,16,0,10,0,75,28,1,0,3,0,0,113,20,0,0,300,0,10,0
SK_501875,Sap,447,271,4,0,3,0,1,3,0,7,0,0,0,19,6,1,0,0,0,1,64,8,0,0,150,0,4,0
SK_501905,Samorin,10904,7468,60,0,4,94,406,430,1,493,7,61,4,1651,591,9,0,94,1,127,1059,363,6,3,1847,0,140,17
SK_501913,Stvrtok na Ostrove,1450,1005,11,0,2,4,49,41,0,44,1,3,0,214,25,11,0,6,0,5,153,26,0,1,395,0,11,3
SK_501921,Topolniky,2580,1487,16,0,5,3,8,13,0,14,1,3,0,104,23,0,0,2,0,2,299,37,1,0,950,0,5,1
SK_555576,Trhova Hradska,1856,1069,11,0,7,3,14,16,0,25,3,1,1,69,33,1,1,2,0,3,141,39,0,2,687,0,8,2
SK_501956,Trnávka (okres Dunajská Streda),423,276,2,0,0,6,11,13,0,6,0,0,2,48,11,0,0,2,0,4,55,20,0,0,91,0,4,1
SK_501964,Trstena na Ostrove,505,360,4,0,0,0,5,11,0,15,0,1,0,23,5,0,0,0,0,3,71,10,0,0,207,0,5,0
SK_501972,Velka Paka,799,577,16,0,1,9,43,38,0,23,2,7,0,157,37,2,0,3,0,17,84,49,0,0,74,1,14,0
SK_501981,Velke Blahovo,1262,715,11,0,0,2,17,18,0,18,0,2,0,134,21,0,0,0,0,5,156,26,0,1,296,0,8,0
SK_555673,Velke Dvorniky,1069,620,6,0,3,6,12,16,0,23,0,2,1,110,24,0,0,1,0,1,109,24,0,0,277,0,5,0
SK_501522,Velky Meder,7082,3351,38,0,3,17,52,103,1,133,7,5,0,352,100,0,2,8,0,32,547,167,0,2,1751,0,26,5
SK_555746,Vieska (okres Dunajská Streda),345,260,0,0,1,3,1,7,0,8,0,0,0,34,2,0,0,1,0,0,96,4,0,0,101,0,2,0
SK_501999,Vojka nad Dunajom,447,330,2,0,1,2,20,14,0,15,0,0,0,66,26,0,0,2,0,6,42,21,0,0,103,0,4,6
SK_502006,Vrakun,2266,1426,12,0,3,7,15,37,1,40,2,4,0,110,33,1,0,3,0,9,200,36,2,0,900,1,10,0
SK_502014,Vydrany,1455,925,9,0,0,3,6,27,0,23,2,2,0,123,31,3,0,0,1,4,311,27,1,0,340,0,12,0
SK_502022,Zlate Klasy,2699,1514,22,0,1,3,21,28,0,37,2,2,0,366,47,3,0,4,0,2,685,32,0,1,241,0,15,2
SK_503673,Abraham,915,662,7,0,1,9,38,56,1,23,0,47,1,144,41,1,1,35,0,8,4,170,1,0,5,0,67,2
SK_503690,Cierna Voda,1163,874,7,0,1,2,7,16,1,18,0,1,0,131,11,1,0,2,0,3,405,15,0,1,240,0,12,0
SK_503703,Cierny Brod,1369,828,9,0,3,7,21,47,0,19,1,4,0,217,21,5,0,3,0,4,145,14,0,2,287,0,16,3
SK_555789,Dolna Streda,1339,931,7,0,2,30,53,95,1,35,1,23,0,287,67,0,0,43,0,38,4,161,1,2,2,0,66,13
SK_503746,Dolne Saliby,1718,1108,7,0,4,4,18,58,0,30,2,3,0,151,31,0,0,0,0,9,99,67,1,0,603,0,19,2
SK_503754,Dolny Chotar,294,126,2,0,1,2,3,14,0,3,0,0,0,27,4,0,0,0,0,0,9,4,0,0,52,0,5,0
SK_503665,Galanta,12403,8292,71,0,18,169,593,751,5,475,10,155,5,2384,564,9,2,99,3,179,489,904,5,6,964,2,320,110
SK_503762,Gan,678,495,4,0,1,17,21,57,0,17,0,12,1,154,35,2,2,25,0,13,8,85,0,1,2,0,31,7
SK_503771,Horne Saliby,2626,1755,27,0,1,24,51,86,0,62,4,16,1,375,52,2,1,3,0,15,174,113,4,0,686,0,55,3
SK_503789,Hoste,389,293,0,0,0,7,10,23,0,10,1,12,0,78,15,0,0,19,0,4,0,73,0,0,1,0,39,1
SK_519294,Janovce,1778,1142,17,0,44,22,34,85,2,91,9,28,0,312,39,43,2,115,2,38,35,114,12,0,8,0,84,6
SK_503835,Jelka,3348,1978,33,0,4,30,38,112,0,87,4,17,3,565,59,28,1,8,0,19,223,109,0,3,568,0,57,10
SK_503843,Kajal,1250,733,7,0,2,8,29,53,0,22,2,10,0,213,37,0,1,1,0,12,109,46,0,0,153,0,27,1
SK_503860,Kosuty,1454,916,14,0,4,10,34,72,2,50,3,20,1,278,33,3,0,6,2,14,96,80,0,1,151,0,37,5
SK_503878,Kralov Brod,909,577,4,0,2,4,4,11,0,17,1,0,0,102,13,1,0,0,0,4,52,14,0,0,345,0,3,0
SK_582638,Malá Mača,493,313,2,0,0,5,10,39,0,16,1,6,0,53,10,0,0,2,0,0,49,34,0,1,61,0,23,1
SK_555754,Matuskovo,1865,1376,13,0,0,5,72,67,1,47,3,10,0,384,83,0,0,4,3,21,164,83,1,0,376,0,36,3
SK_503924,Mostova,1341,857,22,0,1,7,14,31,0,24,1,3,0,179,26,2,0,1,0,4,130,24,2,0,372,0,12,2
SK_503959,Pata,2633,1773,26,0,5,42,105,234,0,61,7,44,1,450,75,1,1,98,1,41,5,384,0,1,0,0,183,8
SK_503967,Puste Sady,498,336,2,0,1,7,8,40,1,10,0,22,0,91,9,1,0,22,0,13,0,83,0,0,1,0,23,2
SK_503975,Puste Ulany,1503,986,12,0,1,30,53,98,2,42,1,51,2,260,64,4,1,31,1,35,1,199,0,0,3,0,87,8
SK_504009,Sered,13285,8622,80,0,12,212,600,867,7,346,19,255,11,2472,497,5,1,258,3,310,29,1747,9,3,8,9,782,80
SK_504017,Sladkovicovo,4381,2692,25,0,3,50,185,230,1,151,10,27,5,997,157,9,0,27,0,48,192,223,2,1,230,1,108,10
SK_504033,Salgocka,380,257,9,0,0,7,14,34,0,8,0,4,0,56,21,0,0,10,0,10,0,60,0,0,0,0,20,4
SK_504041,Sintava,1491,1078,11,0,5,26,61,88,0,46,4,30,0,329,49,0,0,79,0,30,0,212,4,0,0,0,93,11
SK_504050,Soporna,3420,2136,30,0,5,56,122,224,0,52,6,79,5,529,84,1,2,54,2,66,10,577,3,1,2,0,214,12
SK_504076,Tomasikovo,1309,727,6,0,9,4,8,24,0,19,7,1,0,124,17,2,0,1,0,9,154,18,0,0,313,0,11,0
SK_504084,Topolnica,684,463,1,0,0,13,15,60,0,17,2,2,1,158,18,0,0,6,0,8,53,38,0,0,48,0,17,6
SK_504106,Trstice,3246,2135,25,0,5,5,19,43,0,58,2,7,0,257,28,1,0,1,0,3,510,39,2,0,1123,0,7,0
SK_504114,Vahovce,1751,1150,12,0,2,10,31,70,0,32,5,8,1,348,33,2,1,8,0,6,193,65,1,0,286,0,29,7
SK_504122,Velka Maca,2109,1332,16,0,1,9,31,46,1,48,1,2,2,397,51,0,0,8,0,12,180,33,0,0,457,0,35,2
SK_504131,Velke Ulany,3765,2577,32,0,5,32,135,160,1,110,3,21,4,797,110,108,0,7,0,32,279,115,0,1,548,0,67,10
